Departures,Domestic,International,FlagCarrier_Flights,Name,Area,Development_Level
40362,39008,1354,40897,Papua New Guinea,Pacific,Low
89364,15829,73535,76845,Poland,Europe,High
64962,18222,46740,9095,Puerto Rico,Americas,Medium
423,0,423,832,Democratic People's Republic of Korea,Asia,Low
99286,29851,69435,66298,Portugal,Europe,High
3151,340,2811,1073,Paraguay,Americas,Low
15362,14481,881,15926,French Polynesia,Pacific,Low
71151,0,71151,135208,Qatar,Asia,Medium
3065,0,3065,3293,Reunion,Africa,Low
46883,8721,38162,31274,Romania,Europe,Medium
583530,493799,89731,609078,Russian Federation,Asia,Medium
5212,314,4898,8492,Rwanda,Africa,Low
190133,130175,59958,169590,Saudi Arabia,Asia,Medium
13724,4966,8758,15539,Sudan,Africa,Low
10047,2534,7513,11272,Senegal,Africa,Low
55125,0,55125,63201,Singapore,Asia,High
561,0,561,0,Saint Helena,Americas,Medium
6465,5979,486,7009,Solomon Islands,Pacific,Low
1002,0,1002,0,Sierra Leone,Africa,Low
8182,0,8182,1209,El Salvador,Americas,Low
4551,1264,3287,0,Somalia,Africa,Low
442,0,442,882,Saint Pierre and Miquelon,Americas,Low
17331,1,17330,15359,Serbia,Europe,Medium
2608,392,2216,0,South Sudan,Africa,Low
1116,660,456,795,Sao Tome and Principe,Africa,Low
1375,0,1375,2933,Suriname,Americas,Low
3110,0,3110,0,Slovakia,Europe,High
1943,0,1943,0,Slovenia,Europe,High
84862,43311,41551,137868,Sweden,Europe,High
9762,8518,1244,9033,Seychelles,Africa,Low
1602,2,1600,2546,Syrian Arab Republic,Asia<low
13009,8773,4236,24718,Turks and Caicos Islands,Americas,Low
1751,650,1101,2492,Chad,Africa,Low
3404,0,3404,9555,Togo,Africa,Low
254960,185526,69434,234761,Thailand,Asia,Medium
3737,162,3575,3738,Tajikistan,Asia,Low
9057,8253,804,9197,Turkmenistan,Asia,Low
835,0,835,0,Timor-Leste,Asia,Low
2801,2538,263,0,Tonga,Pacific,Low
14526,8600,5926,16321,Trinidad and Tobago,Americas<low
18965,2939,16026,19191,Tunisia,Africa,Low
186424,125071,61353,224016,Turkey,Asia,Medium
65,0,65,0,Tuvalu,Pacific,Low
130264,72862,57402,147826,Taiwan Island,Asia,High
91516,82066,9450,88190,United Republic of Tanzania,Africa,Low
9859,2925,6934,7736,Uganda,Africa,Low
54854,9358,45496,37009,Ukraine,Europe,Medium
3519,2,3517,1680,Uruguay,Americas,Medium
5870964,5496536,374428,5914352,United States of America,Americas,High
6089,1896,4193,6315,Uzbekistan,Asia,Low
1999,0,1999,0,Saint Vincent and the Grenadines,Americas,Low
20175,14897,5278,37747,Venezuela (Bolivarian Republic of),Americas,Medium
14826,1511,13315,2267,British Virgin Islands,Americas,High
33762,13843,19919,14016,United States Virgin Islands,Americas,High
256244,213907,42337,202865,Vietnam,Asia,Low
9705,9157,548,9729,Vanuatu,Pacific,Low
1479,1384,95,0,Wallis and Futuna Islands,Pacific,Low
807,0,807,1132,Samoa,Pacific,Low
463,8,455,560,Yemen,Asia,Low
96704,76147,20557,102696,South Africa,Africa,High
10390,6394,3996,6648,Zambia,Africa,Low
7577,2896,4681,3866,Zimbabwe,Africa,Low
